hora,temperatura
2025-08-19T22:40:45,16.86
2025-08-19T22:40:50,17.19
2025-08-19T22:40:55,15
2025-08-19T22:41:00,15
2025-08-19T22:41:05,15
2025-08-19T22:41:10,15
2025-08-19T22:41:15,15.07
2025-08-19T22:41:20,15.58
2025-08-19T22:41:25,15
2025-08-19T22:41:30,15
2025-08-19T22:41:35,17.17
2025-08-19T22:41:40,17.37
2025-08-19T22:41:45,15
2025-08-19T22:41:50,15
2025-08-19T22:41:55,17.28
2025-08-19T22:42:00,15.02
2025-08-19T22:42:05,15.3
2025-08-19T22:42:10,15
2025-08-19T22:42:15,15
2025-08-19T22:42:20,15
2025-08-19T22:42:25,15.3
2025-08-19T22:42:30,15.15
2025-08-19T22:42:35,15.94
2025-08-19T22:42:40,15
2025-08-19T22:42:45,15
2025-08-19T22:42:50,15.03
2025-08-19T22:42:55,15
2025-08-19T22:43:00,16.54
2025-08-19T22:43:05,16.3
2025-08-19T22:43:10,15
2025-08-19T22:43:15,15.85
2025-08-19T22:43:20,15
2025-08-19T22:43:25,15
2025-08-19T22:43:30,16.36
2025-08-19T22:43:35,15.2
2025-08-19T22:43:40,15
2025-08-19T22:43:45,15
2025-08-19T22:43:50,15
2025-08-19T22:43:55,15.07
2025-08-19T22:44:00,15
2025-08-19T22:44:05,16.03
2025-08-19T22:44:10,17.33
2025-08-19T22:44:15,15.17
2025-08-19T22:44:20,15
2025-08-19T22:44:25,17.41
2025-08-19T22:44:30,15.53
2025-08-19T22:44:35,15
2025-08-19T22:44:40,15.66
2025-08-19T22:44:45,15
2025-08-19T22:44:50,15
2025-08-19T22:44:55,15
2025-08-19T22:45:00,16.67
2025-08-19T22:45:05,16.3
2025-08-19T22:45:10,15.32
2025-08-19T22:45:15,16.46
2025-08-19T22:45:20,17.09
2025-08-19T22:45:25,15
2025-08-19T22:45:30,17.34
2025-08-19T22:45:35,15.17
2025-08-19T22:45:40,15
2025-08-19T22:45:45,15
2025-08-19T22:45:50,15
2025-08-19T22:45:55,16.15
2025-08-19T22:46:00,17.35
2025-08-19T22:46:05,15.05
2025-08-19T22:46:10,15
2025-08-19T22:46:15,15.45
2025-08-19T22:46:20,15
2025-08-19T22:46:25,15
2025-08-19T22:46:30,15.36
2025-08-19T22:46:35,15
2025-08-19T22:46:40,15.12
2025-08-19T22:46:45,17.16
2025-08-19T22:46:50,15.02
2025-08-19T22:46:55,15
2025-08-19T22:47:00,15.53
2025-08-19T22:47:05,15.32
2025-08-19T22:47:10,15.3
2025-08-19T22:47:15,15
2025-08-19T22:47:20,15
2025-08-19T22:47:25,15
2025-08-19T22:47:30,17.06
2025-08-19T22:47:35,15
2025-08-19T22:47:40,17.38
2025-08-19T22:47:45,17.06
2025-08-19T22:47:50,17.08
2025-08-19T22:47:55,17.07
2025-08-19T22:48:00,17.07
2025-08-19T22:48:05,16.83
2025-08-19T22:48:10,16.07
2025-08-19T22:48:15,15.51
2025-08-19T22:48:20,15.07
2025-08-19T22:48:25,15.23
2025-08-19T22:48:30,15.85
2025-08-19T22:48:35,15
2025-08-19T22:48:40,15
2025-08-19T22:48:45,16.5
2025-08-19T22:48:50,15.35
2025-08-19T22:48:55,17.04
2025-08-19T22:49:00,16.61
2025-08-19T22:49:05,16.65
2025-08-19T22:49:10,17.34
2025-08-19T22:49:15,15
2025-08-19T22:49:20,15
2025-08-19T22:49:25,16.91
2025-08-19T22:49:30,16.03
2025-08-19T22:49:35,16.73
2025-08-19T22:49:40,16.97
2025-08-19T22:49:45,15
2025-08-19T22:49:50,15
2025-08-19T22:49:55,16.32
2025-08-19T22:50:00,15
2025-08-19T22:50:05,16.68
2025-08-19T22:50:10,15
2025-08-19T22:50:15,15
2025-08-19T22:50:20,15
2025-08-19T22:50:25,15
2025-08-19T22:50:30,15
2025-08-19T22:50:35,15
2025-08-19T22:50:40,15.63
2025-08-19T22:50:45,15.56
2025-08-19T22:50:50,16.63
2025-08-19T22:50:55,15
2025-08-19T22:51:00,16.69
2025-08-19T22:51:05,16.73
2025-08-19T22:51:10,15.34
2025-08-19T22:51:15,15.51
2025-08-19T22:51:20,16.05
2025-08-19T22:51:25,15
2025-08-19T22:51:30,15
2025-08-19T22:51:35,15.88
2025-08-19T22:51:40,16.96
2025-08-19T22:51:45,15
2025-08-19T22:51:50,17.27
2025-08-19T22:51:55,15.61
2025-08-19T22:52:00,16.67
2025-08-19T22:52:05,15
2025-08-19T22:52:10,15.51
2025-08-19T22:52:15,17.27
2025-08-19T22:52:20,17.31
2025-08-19T22:52:25,17.09
2025-08-19T22:52:30,17.16
2025-08-19T22:52:35,15.51
2025-08-19T22:52:40,15
2025-08-19T22:52:45,15.02
2025-08-19T22:52:50,15.58
2025-08-19T22:52:55,15.65
2025-08-19T22:53:00,17.31
2025-08-19T22:53:05,15
2025-08-19T22:53:10,16.41
2025-08-19T22:53:15,15.1
2025-08-19T22:53:20,15
2025-08-19T22:53:25,16.45
2025-08-19T22:53:30,15
2025-08-19T22:53:35,15.53
2025-08-19T22:53:40,16.48
2025-08-19T22:53:45,15.74
2025-08-19T22:53:50,15.59
2025-08-19T22:53:55,15
2025-08-19T22:54:00,15
2025-08-19T22:54:05,16.5
2025-08-19T22:54:10,15
2025-08-19T22:54:15,15
2025-08-19T22:54:20,17.1
2025-08-19T22:54:25,15
2025-08-19T22:54:30,15
2025-08-19T22:54:35,15
2025-08-19T22:54:40,15
2025-08-19T22:54:45,16.52
2025-08-19T22:54:50,15
2025-08-19T22:54:55,17.07
2025-08-19T22:55:00,15
2025-08-19T22:55:05,15
2025-08-19T22:55:10,16.31
2025-08-19T22:55:15,16.65
2025-08-19T22:55:20,15
2025-08-19T22:55:25,16.28
2025-08-19T22:55:30,15
2025-08-19T22:55:35,17.01
2025-08-19T22:55:40,15
2025-08-19T22:55:45,17.11
2025-08-19T22:55:50,15.3
2025-08-19T22:55:55,17.05
2025-08-19T22:56:00,15
2025-08-19T22:56:05,16.34
2025-08-19T22:56:10,15
2025-08-19T22:56:15,16.43
2025-08-19T22:56:20,15
2025-08-19T22:56:25,17.13
2025-08-19T22:56:30,16.84
2025-08-19T22:56:35,15
2025-08-19T22:56:40,15
2025-08-19T22:56:45,15.41
2025-08-19T22:56:50,15.04
2025-08-19T22:56:55,16.93
2025-08-19T22:57:00,15
2025-08-19T22:57:05,17.27
2025-08-19T22:57:10,15.06
2025-08-19T22:57:15,16.19
2025-08-19T22:57:20,17.24
2025-08-19T22:57:25,16.32
2025-08-19T22:57:30,15.25
2025-08-19T22:57:35,15
2025-08-19T22:57:40,15.48
2025-08-19T22:57:45,16.27
2025-08-19T22:57:50,16.99
2025-08-19T22:57:55,16.52
2025-08-19T22:58:00,17.23
2025-08-19T22:58:05,15
2025-08-19T22:58:10,15
2025-08-19T22:58:15,16.63
2025-08-19T22:58:20,15.2
2025-08-19T22:58:25,15
2025-08-19T22:58:30,15.29
2025-08-19T22:58:35,15
2025-08-19T22:58:40,15.71
2025-08-19T22:58:45,15
2025-08-19T22:58:50,15.73
2025-08-19T22:58:55,15.87
2025-08-19T22:59:00,16.84
2025-08-19T22:59:05,15.7
2025-08-19T22:59:10,15.43
2025-08-19T22:59:15,15
2025-08-19T22:59:20,15
2025-08-19T22:59:25,16.34
2025-08-19T22:59:30,15.84
2025-08-19T22:59:35,17.15
2025-08-19T22:59:40,15.73
2025-08-19T22:59:45,15
2025-08-19T22:59:50,15.63
2025-08-19T22:59:55,17.13
2025-08-19T23:00:00,15
2025-08-19T23:00:05,17.04
2025-08-19T23:00:10,15
2025-08-19T23:00:15,15
2025-08-19T23:00:20,15
2025-08-19T23:00:25,15
2025-08-19T23:00:30,16.97
2025-08-19T23:00:35,16.63
2025-08-19T23:00:40,15
2025-08-19T23:00:45,16.84
2025-08-19T23:00:50,16.96
2025-08-19T23:00:55,15.76
2025-08-19T23:01:00,15.07
2025-08-19T23:01:05,15.37
2025-08-19T23:01:10,15
2025-08-19T23:01:15,15
2025-08-19T23:01:20,16.41
2025-08-19T23:01:25,15
2025-08-19T23:01:30,16.03
2025-08-19T23:01:35,15.71
2025-08-19T23:01:40,16.34
2025-08-19T23:01:45,15
2025-08-19T23:01:50,15
2025-08-19T23:01:55,16.79
2025-08-19T23:02:00,17.08
2025-08-19T23:02:05,17.01
2025-08-19T23:02:10,15.7
2025-08-19T23:02:15,15
2025-08-19T23:02:20,15.05
2025-08-19T23:02:25,15.15
2025-08-19T23:02:30,16.52
2025-08-19T23:02:35,17.17
2025-08-19T23:02:40,15.81
2025-08-19T23:02:45,15
2025-08-19T23:02:50,17.12
2025-08-19T23:02:55,15
2025-08-19T23:03:00,15.04
2025-08-19T23:03:05,15.99
2025-08-19T23:03:10,15
2025-08-19T23:03:15,16.29
2025-08-19T23:03:20,15.58
2025-08-19T23:03:25,15.26
2025-08-19T23:03:30,15.28
2025-08-19T23:03:35,15
2025-08-19T23:03:40,16.26
2025-08-19T23:03:45,15.6
2025-08-19T23:03:50,15.41
2025-08-19T23:03:55,15
2025-08-19T23:04:00,15
2025-08-19T23:04:05,15.52
2025-08-19T23:04:10,16.81
2025-08-19T23:04:15,15
2025-08-19T23:04:20,15
2025-08-19T23:04:25,15.44
2025-08-19T23:04:30,16.94
2025-08-19T23:04:35,16.83
2025-08-19T23:04:40,15
2025-08-19T23:04:45,15.97
2025-08-19T23:04:50,17.22
2025-08-19T23:04:55,15.67
2025-08-19T23:05:00,15
2025-08-19T23:05:05,15.6
2025-08-19T23:05:10,15
2025-08-19T23:05:15,16.68
2025-08-19T23:05:20,15
2025-08-19T23:05:25,15
2025-08-19T23:05:30,15
2025-08-19T23:05:35,15
2025-08-19T23:05:40,15
2025-08-19T23:05:45,15
2025-08-19T23:05:50,16.4
2025-08-19T23:05:55,15
2025-08-19T23:06:00,15
2025-08-19T23:06:05,15
2025-08-19T23:06:10,15
2025-08-19T23:06:15,15.86
2025-08-19T23:06:20,15.07
2025-08-19T23:06:25,15.1
2025-08-19T23:06:30,15
2025-08-19T23:06:35,15
2025-08-19T23:06:40,15
2025-08-19T23:06:45,15.91
2025-08-19T23:06:50,15
2025-08-19T23:06:55,16.87
2025-08-19T23:07:00,15
2025-08-19T23:07:05,15
2025-08-19T23:07:10,15
2025-08-19T23:07:15,15
2025-08-19T23:07:20,15
2025-08-19T23:07:25,17.07
2025-08-19T23:07:30,16.04
2025-08-19T23:07:35,15
2025-08-19T23:07:40,15.82
2025-08-19T23:07:45,15
2025-08-19T23:07:50,15
2025-08-19T23:07:55,16.54
2025-08-19T23:08:00,15
2025-08-19T23:08:05,15.51
2025-08-19T23:08:10,15.65
2025-08-19T23:08:15,16.45
2025-08-19T23:08:20,15
2025-08-19T23:08:25,15
2025-08-19T23:08:30,16.91
2025-08-19T23:08:35,15
2025-08-19T23:08:40,15
2025-08-19T23:08:45,16.64
2025-08-19T23:08:50,15
2025-08-19T23:08:55,15.31
2025-08-19T23:09:00,15
2025-08-19T23:09:05,15
2025-08-19T23:09:10,15.24
2025-08-19T23:09:15,15
2025-08-19T23:09:20,15
2025-08-19T23:09:25,15.66
2025-08-19T23:09:30,15
2025-08-19T23:09:35,15.32
2025-08-19T23:09:40,15.11
2025-08-19T23:09:45,16.64
2025-08-19T23:09:50,15.26
2025-08-19T23:09:55,15.99
2025-08-19T23:10:00,15.29
2025-08-19T23:10:05,15
2025-08-19T23:10:10,15.1
2025-08-19T23:10:15,16.1
2025-08-19T23:10:20,15.95
2025-08-19T23:10:25,16.27
2025-08-19T23:10:30,15.53
2025-08-19T23:10:35,15
2025-08-19T23:10:40,15
2025-08-19T23:10:45,15
2025-08-19T23:10:50,15
2025-08-19T23:10:55,15
2025-08-19T23:11:00,15
2025-08-19T23:11:05,15
2025-08-19T23:11:10,15.3
2025-08-19T23:11:15,15
2025-08-19T23:11:20,16.1
2025-08-19T23:11:25,16.06
2025-08-19T23:11:30,15.85
2025-08-19T23:11:35,15
2025-08-19T23:11:40,15.42
2025-08-19T23:11:45,15
2025-08-19T23:11:50,15.62
2025-08-19T23:11:55,15
2025-08-19T23:12:00,16.97
2025-08-19T23:12:05,15.02
2025-08-19T23:12:10,15
2025-08-19T23:12:15,16.59
2025-08-19T23:12:20,15.18
2025-08-19T23:12:25,16.89
2025-08-19T23:12:30,15.32
2025-08-19T23:12:35,16.38
2025-08-19T23:12:40,15.64
2025-08-19T23:12:45,15
2025-08-19T23:12:50,15
2025-08-19T23:12:55,15
2025-08-19T23:13:00,15.35
2025-08-19T23:13:05,16.38
2025-08-19T23:13:10,15.12
2025-08-19T23:13:15,17.12
2025-08-19T23:13:20,15
2025-08-19T23:13:25,16.34
2025-08-19T23:13:30,15
2025-08-19T23:13:35,15.52
2025-08-19T23:13:40,16.05
2025-08-19T23:13:45,16.86
2025-08-19T23:13:50,15
2025-08-19T23:13:55,15
2025-08-19T23:14:00,15
2025-08-19T23:14:05,15
2025-08-19T23:14:10,15
2025-08-19T23:14:15,16.64
2025-08-19T23:14:20,16.27
2025-08-19T23:14:25,15.98
2025-08-19T23:14:30,16.12
2025-08-19T23:14:35,15.73
2025-08-19T23:14:40,15
2025-08-19T23:14:45,15
2025-08-19T23:14:50,16.89
2025-08-19T23:14:55,16.94
2025-08-19T23:15:00,15.26
2025-08-19T23:15:05,15.52
2025-08-19T23:15:10,15
2025-08-19T23:15:15,15
2025-08-19T23:15:20,15
2025-08-19T23:15:25,15.47
2025-08-19T23:15:30,16.85
2025-08-19T23:15:35,16.4
2025-08-19T23:15:40,16.39
2025-08-19T23:15:45,15
2025-08-19T23:15:50,16.66
2025-08-19T23:15:55,16.89
2025-08-19T23:16:00,15.43
2025-08-19T23:16:05,16.82
2025-08-19T23:16:10,15
2025-08-19T23:16:15,15.98
2025-08-19T23:16:20,15.61
2025-08-19T23:16:25,15
2025-08-19T23:16:30,15.14
2025-08-19T23:16:35,15
2025-08-19T23:16:40,15
2025-08-19T23:16:45,15.37
2025-08-19T23:16:50,15.38
2025-08-19T23:16:55,15.77
2025-08-19T23:17:00,15
2025-08-19T23:17:05,15.75
2025-08-19T23:17:10,15
2025-08-19T23:17:15,15.49
2025-08-19T23:17:20,15
2025-08-19T23:17:25,15.52
2025-08-19T23:17:30,16.76
2025-08-19T23:17:35,15.68
2025-08-19T23:17:40,16.8
2025-08-19T23:17:45,15
2025-08-19T23:17:50,15
2025-08-19T23:17:55,15
2025-08-19T23:18:00,15.35
2025-08-19T23:18:05,15
2025-08-19T23:18:10,16.82
2025-08-19T23:18:15,15.48
2025-08-19T23:18:20,15
2025-08-19T23:18:25,15
2025-08-19T23:18:30,15.25
2025-08-19T23:18:35,16.77
2025-08-19T23:18:40,15
2025-08-19T23:18:45,15.04
2025-08-19T23:18:50,15.03
2025-08-19T23:18:55,17.08
2025-08-19T23:19:00,15.59
2025-08-19T23:19:05,15
2025-08-19T23:19:10,16.95
2025-08-19T23:19:15,15
2025-08-19T23:19:20,16.11
2025-08-19T23:19:25,15.82
2025-08-19T23:19:30,15
2025-08-19T23:19:35,15.78
2025-08-19T23:19:40,16.7
2025-08-19T23:19:45,15.42
2025-08-19T23:19:50,16.92
2025-08-19T23:19:55,15
2025-08-19T23:20:00,16.04
2025-08-19T23:20:05,15
2025-08-19T23:20:10,15
2025-08-19T23:20:15,16.33
2025-08-19T23:20:20,15.63
2025-08-19T23:20:25,15.3
2025-08-19T23:20:30,15
2025-08-19T23:20:35,16.41
2025-08-19T23:20:40,15
2025-08-19T23:20:45,15
2025-08-19T23:20:50,17.01
2025-08-19T23:20:55,15.67
2025-08-19T23:21:00,15
2025-08-19T23:21:05,16.92
2025-08-19T23:21:10,15
2025-08-19T23:21:15,15.02
2025-08-19T23:21:20,15
2025-08-19T23:21:25,15
2025-08-19T23:21:30,15.47
2025-08-19T23:21:35,16.45
2025-08-19T23:21:40,15
2025-08-19T23:21:45,15
2025-08-19T23:21:50,15
2025-08-19T23:21:55,15
2025-08-19T23:22:00,15
2025-08-19T23:22:05,16.02
2025-08-19T23:22:10,15.45
2025-08-19T23:22:15,16.6
2025-08-19T23:22:20,15
2025-08-19T23:22:25,16.49
2025-08-19T23:22:30,15
2025-08-19T23:22:35,15
2025-08-19T23:22:40,16.75
2025-08-19T23:22:45,15
2025-08-19T23:22:50,16.19
2025-08-19T23:22:55,16.09
2025-08-19T23:23:00,16.06
2025-08-19T23:23:05,15
2025-08-19T23:23:10,16.47
2025-08-19T23:23:15,15
2025-08-19T23:23:20,15
2025-08-19T23:23:25,15.66
2025-08-19T23:23:30,15
2025-08-19T23:23:35,16.04
2025-08-19T23:23:40,15
2025-08-19T23:23:45,15.37
2025-08-19T23:23:50,16.48
2025-08-19T23:23:55,16.84
2025-08-19T23:24:00,15
2025-08-19T23:24:05,15
2025-08-19T23:24:10,15.57
2025-08-19T23:24:15,15.14
2025-08-19T23:24:20,15
2025-08-19T23:24:25,16.34
2025-08-19T23:24:30,15
2025-08-19T23:24:35,16.81
2025-08-19T23:24:40,15
2025-08-19T23:24:45,15
2025-08-19T23:24:50,15
2025-08-19T23:24:55,15
2025-08-19T23:25:00,15
2025-08-19T23:25:05,15.37
2025-08-19T23:25:10,15
2025-08-19T23:25:15,15
2025-08-19T23:25:20,15
2025-08-19T23:25:25,16.15
2025-08-19T23:25:30,15
2025-08-19T23:25:35,15.22
2025-08-19T23:25:40,16.87
2025-08-19T23:25:45,15.16
2025-08-19T23:25:50,15
2025-08-19T23:25:55,15
2025-08-19T23:26:00,15
2025-08-19T23:26:05,15
2025-08-19T23:26:10,16.78
2025-08-19T23:26:15,15
2025-08-19T23:26:20,16.05
2025-08-19T23:26:25,16.13
2025-08-19T23:26:30,16.77
2025-08-19T23:26:35,16.17
2025-08-19T23:26:40,15.57
2025-08-19T23:26:45,16.11
2025-08-19T23:26:50,15
2025-08-19T23:26:55,16.57
2025-08-19T23:27:00,15.16
2025-08-19T23:27:05,16.99
2025-08-19T23:27:10,16.23
2025-08-19T23:27:15,15.48
2025-08-19T23:27:20,15
2025-08-19T23:27:25,15.56
2025-08-19T23:27:30,15
2025-08-19T23:27:35,15
2025-08-19T23:27:40,15
2025-08-19T23:27:45,15
2025-08-19T23:27:50,15
2025-08-19T23:27:55,17.04
2025-08-19T23:28:00,15
2025-08-19T23:28:05,15
2025-08-19T23:28:10,15
2025-08-19T23:28:15,15
2025-08-19T23:28:20,16.43
2025-08-19T23:28:25,15.34
2025-08-19T23:28:30,15.98
2025-08-19T23:28:35,15.02
2025-08-19T23:28:40,15
2025-08-19T23:28:45,15
2025-08-19T23:28:50,15.53
2025-08-19T23:28:55,16.81
2025-08-19T23:29:00,15
2025-08-19T23:29:05,15
2025-08-19T23:29:10,15
2025-08-19T23:29:15,16.79
2025-08-19T23:29:20,16.78
2025-08-19T23:29:25,15
2025-08-19T23:29:30,15.38
2025-08-19T23:29:35,15
2025-08-19T23:29:40,15.49
2025-08-19T23:29:45,16.01
2025-08-19T23:29:50,15
2025-08-19T23:29:55,15
2025-08-19T23:30:00,15.18
2025-08-19T23:30:05,15
2025-08-19T23:30:10,16.3
2025-08-19T23:30:15,15
2025-08-19T23:30:20,15
2025-08-19T23:30:25,15
2025-08-19T23:30:30,15.97
2025-08-19T23:30:35,16.01
2025-08-19T23:30:40,16.8
2025-08-19T23:30:45,16.0
2025-08-19T23:30:50,15.85
2025-08-19T23:30:55,16.77
2025-08-19T23:31:00,15
2025-08-19T23:31:05,16.18
2025-08-19T23:31:10,15.09
2025-08-19T23:31:15,15
2025-08-19T23:31:20,15
2025-08-19T23:31:25,16.74
2025-08-19T23:31:30,15
2025-08-19T23:31:35,15
2025-08-19T23:31:40,16.21
2025-08-19T23:31:45,16.47
2025-08-19T23:31:50,15
2025-08-19T23:31:55,16.62
2025-08-19T23:32:00,15
2025-08-19T23:32:05,15.69
2025-08-19T23:32:10,15
2025-08-19T23:32:15,15
2025-08-19T23:32:20,15
2025-08-19T23:32:25,15.01
2025-08-19T23:32:30,15
2025-08-19T23:32:35,15
2025-08-19T23:32:40,15
2025-08-19T23:32:45,15.34
2025-08-19T23:32:50,15.23
2025-08-19T23:32:55,16.45
2025-08-19T23:33:00,15
2025-08-19T23:33:05,16.57
2025-08-19T23:33:10,15
2025-08-19T23:33:15,15
2025-08-19T23:33:20,15.56
2025-08-19T23:33:25,16.58
2025-08-19T23:33:30,16.87
2025-08-19T23:33:35,15
2025-08-19T23:33:40,15.14
2025-08-19T23:33:45,15
2025-08-19T23:33:50,16.97
2025-08-19T23:33:55,16.87
2025-08-19T23:34:00,16.6
2025-08-19T23:34:05,15
2025-08-19T23:34:10,15
2025-08-19T23:34:15,16.62
2025-08-19T23:34:20,15.12
2025-08-19T23:34:25,16.54
2025-08-19T23:34:30,17.0
2025-08-19T23:34:35,15.49
2025-08-19T23:34:40,16.04
2025-08-19T23:34:45,16.08
2025-08-19T23:34:50,15.92
2025-08-19T23:34:55,16.09
2025-08-19T23:35:00,15
2025-08-19T23:35:05,17.03
2025-08-19T23:35:10,15.66
2025-08-19T23:35:15,16.38
2025-08-19T23:35:20,15
2025-08-19T23:35:25,15.5
2025-08-19T23:35:30,16.11
2025-08-19T23:35:35,17.03
2025-08-19T23:35:40,15.68
2025-08-19T23:35:45,16.51
2025-08-19T23:35:50,15
2025-08-19T23:35:55,15.62
2025-08-19T23:36:00,16.09
2025-08-19T23:36:05,15
2025-08-19T23:36:10,16.6
2025-08-19T23:36:15,16.78
2025-08-19T23:36:20,15.3
2025-08-19T23:36:25,16.74
2025-08-19T23:36:30,15.73
2025-08-19T23:36:35,15.24
2025-08-19T23:36:40,15
2025-08-19T23:36:45,15
2025-08-19T23:36:50,15.4
2025-08-19T23:36:55,16.37
2025-08-19T23:37:00,16.54
2025-08-19T23:37:05,16.94
2025-08-19T23:37:10,15
2025-08-19T23:37:15,16.05
2025-08-19T23:37:20,16.18
2025-08-19T23:37:25,15
2025-08-19T23:37:30,15
2025-08-19T23:37:35,15
2025-08-19T23:37:40,15
2025-08-19T23:37:45,15.07
2025-08-19T23:37:50,16.51
2025-08-19T23:37:55,16.14
2025-08-19T23:38:00,15
2025-08-19T23:38:05,15
2025-08-19T23:38:10,15
2025-08-19T23:38:15,15
2025-08-19T23:38:20,15
2025-08-19T23:38:25,15.64
2025-08-19T23:38:30,16.55
2025-08-19T23:38:35,15.83
2025-08-19T23:38:40,15
2025-08-19T23:38:45,15
